MIDInoteNum	note nom !2	note num !3	règle accord !29	nb voix !5	avecEtouffoir !6	déviation accord voix +-Hz !8	dureté du marteau !11	stereoXSource !26	stereoYSource !27	AttackWAVfile !17	AttackWAVvolume dB !18	DecayTime !19	SustainVolume dB !20	SustainTimeT60 !21	ReleaseTimeT60 !22	ReleaseWAVfile !23	ReleaseWAVvolume dB !25	fréq coupure filtre amortissement fréquentiel !32	puissance filtre amortissement fréquentiel en dB !33	inharmonicité coef B !15	inharmonicité fréq P1 !31	liste amplitudes réelles des partiels dB !24
Section	Instrument																					
InstrNom	Bosendorfer 290 Imperial																					
VersionDate	V1 251227																					
InstrDescription	From samples GRANDIOSO Bosendorfer 290, 2002 PMI Amsterdam created by Michiel Post																					
Auteur	Ing Vincent GACOUGNOLLE																					
InstrType	piano																					
Diapason	440Hz@M69																					
GeneralMIDI	6																					
PedaleSoftVolume	-6dB																					
PedaleUnaCorda	1																					
PitchbendRange	2																					
DelaiNoteOff	0.1																					
NiveauCouplageMecanique	-22dB																					
Section	Clavier																					
1	PedaleForte	1001			1					pianoSalamanderGrandPianoV3-pedalForteD1.wav	-48				0,8	pianoSalamanderGrandPianoV3-pedalU1.wav	-64					
44	G#2	24	=	=	=	=	=	-0,32	1,36	=	=	=	=	=	=	=	=	=	=	=	=	=
45	A2	25	=	=	=	=	=	-0,3	=	=	=	1,844	-26,9	24,96	0,593	=	=	=	-2	5,6e-05	109,95	-1,8 -13,5 0 -10,3 -11,7 -26,4 -21,6 -21 -20,3 -14,6 -26,1 -17,9 -28,8 -24,3 -25,5 -20,2 -55,2 -28,6 -34,3 -29,6 -31,3 -38,3 -25,4 -34,1 -39,9 -41,1 -40,9 -41,4 -44,4 -38,8 -34,3 -41,8 -50,6 -43,1 -80,4 -57,1 -47,3 -56,1 -46,8 -45,4 -50,4 -53,1 -73,8 -53,7 -60,9 -56,3 -55,6 -55,5 -51,3 -51,3 -58,6 -63,6 -83,9 -68 -64,8 -63 -64,5 -69,7 -72 -67,1 -85,2 -83,2 -76,8 -72,6 -67,9 -77,1 -68,9 -80,4 
46	A#2	26	=	=	=	=	=	-0,29	1,35	=	=	=	=	=	=	=	=	=	=	=	=	=
47	B2	27	=	=	=	=	=	-0,27	=	=	=	1,7	-14,3	14,09	=	=	=	=	=	9,7e-05	123,32	0 -2,8 -1 -15,6 -18 -27,8 -17,8 -24,5 -27,7 -20 -23,5 -16,1 -19,5 -29,5 -21,2 -28,4 -44,5 -27,5 -35 -30,8 -32,3 -49 -36,1 -27,1 -46 -48,1 -54 -39,8 -48,9 -48,2 -43,6 -38 -43,7 -57,4 -62,4 -46,9 -47,5 -51 -46,9 -50,7 -49 -68,8 -56,6 -61,4 -61,5 -63,1 -59,3 -57 -67,1 -67,7 -76,2 -82,3 -73 -70,6 -74 -74,3 -78,3 -73,3 -91,6 -88,1 -83 -76,5 -89,6 
48	C3	28	=	=	=	=	=	-0,25	1,34	=	=	1,622	-16,5	16,54	0,567	=	=	=	=	0,000117	130,46	-3,2 -7,2 0 -10 -22,5 -20 -17,4 -25,9 -29,8 -18,4 -36,7 -26,1 -24,8 -39,3 -24,3 -20,1 -35,7 -26,6 -33,1 -43,8 -35,6 -42,5 -41,1 -32,6 -35,8 -67,5 -54,2 -53,4 -47,9 -56,8 -44,3 -42 -43,4 -59,6 -60,4 -50,2 -53,6 -58,6 -49,2 -56,3 -58,9 -57,4 -68,1 -73,5 -71 -70 -64,4 -63,3 -72,3 -71,8 -92,9 -79,2 -75,3 -78,6 
49	C#3	29	=	=	=	=	=	-0,24	=	=	=	=	=	=	=	=	=	=	=	=	=	=
50	D3	30	=	=	=	=	=	-0,22	1,33	=	=	=	-22,2	22,01	=	=	=	=	=	0,000154	146,48	-0,7 0 -6,7 -9,4 -27,8 -23,1 -20,8 -15,8 -27,3 -15,1 -31,7 -34,3 -20,9 -32,2 -24,2 -31,3 -26,2 -34,7 -32,6 -37,5 -35,9 -36,4 -40,3 -33,8 -38,3 -47,9 -46,7 -45 -37,3 -46,2 -49,9 -36,1 -42,3 -64,7 -53,4 -59,8 -58,7 -64,2 -55,2 -66,9 -67,6 -63 -69,5 -68 -76,6 -65 -62 -64,5 -80,6 -79,9 -79,2 -81,2 
51	D#3	31	=	=	=	=	=	-0,21	1,32	=	=	=	=	=	=	=	=	=	=	=	=	=
52	E3	32	=	=	=	=	=	-0,19	=	=	=	2,1	-19,3	24,216	=	=	=	=	=	0,000102	164,7	-0,6 0 -13,4 -20,5 -20,3 -30,7 -26,1 -20 -34,4 -33,1 -30,3 -36,2 -31,7 -35,8 -38,6 -38,2 -42,5 -54,4 -34,3 -56,2 -39,9 -37,6 -51,6 -42,6 -40,8 -60,8 -51,7 -57,5 -52,7 -52,9 -65,4 -56,1 -50,8 -58,4 -61,1 -62 -68,6 -67,1 -52,5 -74 -64,4 -69,2 -68,5 -68,2 -85,1 -78,3 -92,4 -73,1 -83,5 -73,7 -84,8 -87,9 
53	F3	33	=	=	=	=	=	-0,17	1,31	=	=	1,458	-25,7	=	=	=	=	=	=	0,000146	174,32	-2,9 0 -15 -15,5 -18,7 -30,9 -20 -22,1 -31,9 -24,2 -31,1 -34,6 -29,1 -36,5 -37,4 -29,8 -29,5 -53,4 -43,9 -44,6 -44 -42 -58,3 -43,1 -49,1 -59,7 -65,4 -60,9 -53 -58,5 -56,8 -59 -58,9 -60,3 -68,8 -69,3 -66,2 -56,4 -74,3 -66,3 -71 -75,3 -76,6 
