MIDInoteNum	note nom !2	note num !3	règle accord !29	nb voix !5	avecEtouffoir !6	déviation accord voix +-Hz !8	dureté du marteau !11	stereoXSource !26	stereoYSource !27	AttackWAVfile !17	AttackWAVvolume dB !18	DecayTime !19	SustainVolume dB !20	SustainTimeT60 !21	ReleaseTimeT60 !22	ReleaseWAVfile !23	ReleaseWAVvolume dB !25	fréq coupure filtre amortissement fréquentiel !32	puissance filtre amortissement fréquentiel en dB !33	inharmonicité coef B !15	inharmonicité fréq P1 !31	liste amplitudes réelles des partiels dB !24
Section	Instrument																					
InstrNom	Yamaha C5																					
VersionDate	V3 250826																					
InstrDescription	"Grand Piano Yamaha C5																					
Salamander Grand Piano V2 Recorded @ 48khz24bit																						
Licence: CC-by http://creativecommons.org/licenses/by/3.0/																						
Author: Alexander Holm"																						
Auteur	Ing Vincent GACOUGNOLLE																					
InstrType	piano																					
Diapason	440Hz@M69																					
GeneralMIDI	6																					
PedaleSoftVolume	-6dB																					
PedaleUnaCorda	1																					
PitchbendRange	2																					
DelaiNoteOff	0.1																					
NiveauCouplageMecanique	-22dB																					
Section	Clavier																					
1	PedaleForte	1001			1					pianoSalamanderGrandPianoV3-pedalForteD1.wav	-48				0,8	pianoSalamanderGrandPianoV3-pedalU1.wav	-72					
53	F3	33	=	=	=	=	=	-0,17	1,31	=	=	=	=	=	=	=	=	=	=	=	=	=
54	F#3	34	=	=	=	=	=	-0,16	=	=	=	4,242	-43,7	59,37	0,516	=	=	=	=	0,000282	183,84	0 -3,4 -9,7 -10,3 -13,2 -19,9 -9,1 -31,9 -17,7 -31,7 -28 -17,7 -40,5 -36,5 -27,6 -28,8 -30,7 -36,3 -35,2 -31,4 -37,8 -41,9 -44,6 -74,7 -51,1 -51 -46,6 -53,3 -49,4 -52,2 -49,8 -70,9 -53,2 -59 -65,7 -55,6 -68,3 -70,1 -78,4 -72,8 -74,9 -72,9 -78,1 -80,5 
55	G3	35	=	=	=	=	=	-0,14	1,3	=	=	=	=	=	=	=	=	=	=	=	=	=
56	G#3	36	=	=	=	=	=	-0,13	=	=	=	=	=	=	=	=	=	=	=	=	=	=
57	A3	37	*	=	=	=	=	-0,11	1,29	=	=	1,478	-19,8	13,15	0,49	=	=	=	=	0,000202	220,09	0 -3,5 -16,4 -9,4 -17,6 -17,5 -16,1 -17,5 -12,1 -17,7 -28,4 -27,5 -28,9 -25,8 -29,9 -30 -48,9 -49,4 -47,3 -36,6 -46,8 -47 -42,1 -45,6 -61,7 -55,2 -48,1 -61,7 -54,3 -61,2 -71,2 -66,9 -85,3 -77,2 -76,2 -77,1 -87 -83,7 -88,5 -85,8 
58	A#3	38	=	=	=	=	=	-0,1	1,28	=	=	=	=	=	=	=	=	=	=	=	=	=
59	B3	39	=	=	=	=	=	-0,08	=	=	=	=	=	=	=	=	=	=	=	=	=	=
60	C4	40	=	=	=	=	=	-0,06	1,27	=	=	0,717	-25,7	26,385	0,464	=	=	=	=	0,000307	261,38	0 -3 -18,2 -16,1 -13,8 -20,3 -15,9 -27,7 -29,3 -21,6 -32,8 -25,8 -19,4 -36,8 -38,1 -48 -59,4 -52,1 -58,5 -52,9 -46,9 -54 -42,9 -52,6 -71,8 -64,2 -81,1 -66,8 -75,3 -73,1 -70,1 -76,6 -87,3 
61	C#4	41	=	=	=	=	=	-0,05	=	=	=	=	=	=	=	=	=	=	=	=	=	=
62	D4	42	=	=	=	=	=	-0,03	1,26	=	=	=	=	=	=	=	=	=	=	=	=	=
63	D#4	43	=	=	=	=	=	-0,02	=	=	=	0,875	-25,2	12,05	0,44	=	=	=	=	0,000331	311,37	0 -3,7 -7,9 -12,8 -9,7 -23,9 -14,9 -25,8 -36,2 -25,7 -35,8 -34,9 -39,7 -39,4 -47,2 -43,2 -58,8 -64 -55,9 -62,4 -52,9 -56,5 -62,8 -69,6 -84,9 -87 -86,2 -81,1 -88,9 -80,9 -86,3 
64	E4	44	=	=	=	=	=		1,25	=	=	=	=	=	=	=	=	=	=	=	=	=
65	F4	45	=	=	=	=	=	0,02	1,24	=	=	=	=	=	=	=	=	=	=	=	=	=
66	F#4	46	=	=	=	=	=	0,03	=	=	=	1,333	-27,1	16,01	0,412	=	=	=	=	0,000514	369,42	0 -2,7 -18 -15,7 -30,5 -18,9 -23,9 -28,2 -39,5 -34,8 -36 -44,6 -58,4 -45,5 -48,4 -54,2 -54,2 -65 -71,6 -72,4 -72,2 -66 -75,7 -69,4 -79,3 
67	G4	47	=	=	=	=	=	0,05	1,23	=	=	=	=	=	=	=	=	=	=	=	=	=
68	G#4	48	=	=	=	=	=	0,06	=	=	=	=	=	=	=	=	=	=	=	=	=	=
69	A4	49	T-12P1P2	=	=	=	=	0,08	1,22	=	=	0,875	-19,7	2,642	0,386	=	=	=	=	0,000637	440,46	0 -5,6 -13,5 -14,7 -16,7 -29,1 -27,2 -22,5 -42,2 -31,8 -46,9 -51,5 -45,4 -46,7 -47,6 -56,9 -60,9 -58,3 -74,2 -72,3 -78,9 -76,7 -81,4 
70	A#4	50	N-24P1P4	=	=	=	=	0,1	=	=	=	=	=	=	=	=	=	=	=	=	=	=
71	B4	51	=	=	=	=	=	0,11	1,21	=	=	=	=	=	=	=	=	=	=	=	=	=
72	C5	52	=	=	=	=	=	0,13	1,2	=	=	0,58	-23,6	12,499	0,36	=	=	=	=	0,000808	524,23	0 -6,6 -11,2 -23,8 -18,1 -16,9 -26,1 -28,1 -34,5 -47,6 -48,5 -56,4 -48,3 -58,1 -55,2 -57,7 -65 -75,2 -73,2 
73	C#5	53	=	=	=	=	=	0,14	=	=	=	=	=	=	=	=	=	=	=	=	=	=
74	D5	54	=	=	=	=	=	0,16	1,19	=	=	=	=	=	=	=	=	=	=	=	=	=
75	D#5	55	=	=	=	=	=	0,17	=	=	=	0,992	-21,3	12,55	0,334	=	=	=	=	0,001237	623,47	0 -12,3 -21,8 -28,1 -19,9 -39,7 -39,8 -35,7 -53,2 -49,7 -57,1 -66,3 -70,6 -70,8 -83,2 -79,2 -79,2 -83,2 
76	E5	56	=	=	=	=	=	0,19	1,18	=	=	=	=	=	=	=	=	=	=	=	=	=
77	F5	57	=	=	=	=	=	0,21	=	=	=	=	=	=	=	=	=	=	=	=	=	=
78	F#5	58	=	=	=	=	=	0,22	1,17	=	=	1,183	-31,3	10,84	0,309	=	=	=	=	0,001456	741,94	0 -16,4 -25,1 -31,9 -40,7 -37,7 -42,9 -45,8 -50,8 -60,7 -77,6 -77,5 -83,8 -88,2 -83,8 
79	G5	59	=	=	=	=	=	0,24	1,16	=	=	=	=	=	=	=	=	=	=	=	=	=
80	G#5	60	=	=	=	=	=	0,25	=	=	=	=	=	=	=	=	=	=	=	=	=	=
81	A5	61	=	=	=	=	=	0,27	1,15	=	=	0,517	-20,8	4,56	0,283	=	=	=	=	0,0019	883,58	0 -17,2 -27,3 -31,9 -38,9 -35,2 -55,4 -52 -59,8 -71,3 -86,2 -71,5 
82	A#5	62	=	=	=	=	=	0,29	=	=	=	=	=	=	=	=	=	=	=	=	=	=
83	B5	63	=	=	=	=	=	0,3	1,14	=	=	=	=	=	=	=	=	=	=	=	=	=
84	C6	64	=	=	=	=	=	0,32	=	=	=	0,428	-21,7	2,95	0,257	=	=	=	=	0,002573	1051,57	0 -15,3 -29,7 -37,4 -49,6 -45,8 -65 -68,1 -81,9 -87,6 
85	C#6	65	=	=	=	=	=	0,33	1,13	=	=	=	=	=	=	=	=	=	=	=	=	=
86	D6	66	=	=	=	=	=	0,35	=	=	=	=	=	=	=	=	=	=	=	=	=	=
87	D#6	67	=	=	=	=	=	0,37	1,12	=	=	0,544	=	4,632	0,231	=	=	=	=	0,003262	1251,25	0 -15,3 -21,1 -30 -88,6 -85,5 -97,4 
88	E6	68	=	=	=	=	=	0,38	1,11	=	=	=	=	=	=	=	=	=	=	=	=	=
89	F6	69	=	=	=	=	=	0,4	=	=	=	=	=	=	=	=	=	=	=	=	=	=
90	F#6	70	=	=		=	=	0,41	1,1	pianoMarteauAigue.wav	-12	=	-24,4	2,998	0,205	=	=	=	=	0,004266	1490,02	0 -14,3 -36,5 -37,6 -49 -58,5 -70,2 -83,8 
91	G6	71	=	=		=	=	0,43	=	=	=	=	=	=	=	=	=	=	=	=	=	=
92	G#6	72	=	=		=	=	0,45	1,09	=	=	=	=	=	=	=	=	=	=	=	=	=
93	A6	73	=	=		=	=	0,46	=	=	=	0,3	-21	1,7	0,179	=	=	=	=	0,005325	1771,64	0 -14,6 -38,4 -75 
94	A#6	74	=	=		=	=	0,48	1,08	=	=	=	=	=	=	=	=	=	=	=	=	=
95	B6	75	=	=		=	=	0,49	1,07	=	=	=	=	=	=	=	=	=	=	=	=	=
96	C7	76	=	=		=	=	0,51	=	=	=	0,169	-22,2	1,43	0,153	=	=	=	=	0,00796	2115,97	0 -22,5 -32,1 -71,5 -80,6 
97	C#7	77	=	=		=	=	0,52	1,06	=	=	=	=	=	=	=	=	=	=	=	=	=
98	D7	78	=	=		=	=	0,54	=	=	=	=	=	=	=	=	=	=	=	=	=	=
99	D#7	79	=	=		=	=	0,56	1,05	=	=	0,211	-29,1	2,77	0,128	=	=	=	=	0,010833	2515,05	0 -26,9 -40,1 -55,7 -72,7 
100	E7	80	=	=		=	=	0,57	=	=	=	=	=	=	=	=	=	=	=	=	=	=
101	F7	81	=	=		=	=	0,59	1,04	=	=	=	=	=	=	=	=	=	=	=	=	=
102	F#7	82	=	=		=	=	0,6	1,03	=	=	0,231	-28,6	2,184	0,102	=	=	=	=	0,012041	3000,37	0 -26,5 -47,5 -67,3 
103	G7	83	=	=		=	=	0,62	=	=	=	=	=	=	=	=	=	=	=	=	=	=
104	G#7	84	=	=		=	=	0,64	1,02	=	=	=	=	=	=	=	=	=	=	=	=	=
105	A7	85	=	=		=	=	0,65	=	=	=	0,144	-20,3	0,85	0,08	=	=	=	=	0,014709	3598,3	0 -32,8 -45,1 -65,4 
106	A#7	86	=	=		=	=	0,67	1,01	=	=	=	=	=	=	=	=	=	=	=	=	0 -32,8 -45,1 
107	B7	87	=	=		=	=	0,68	=	=	=	=	=	=	=	=	=	=	=	=	=	=
108	C8	88	=	=		=	=	0,7	1	=	=	0,183	-22	1,25	0,05	=	=	=	=	0,015954	4432,89	0 -30,3 -50,4 
