MIDInoteNum	note nom !2	note num !3	règle accord !29	nb voix !5	avecEtouffoir !6	position de frappe >= 2 !7	déviation accord voix +-Hz !8	nb partiels !10	dureté du marteau !11	fréq coupure filtre TH passe bas !13	puissance filtre TH passe bas en dB !14	stereoXSource !26	stereoYSource !27	AttackWAVfile !17	AttackWAVvolume dB !18	DecayTime !19	SustainVolume dB !20	SustainTimeT60 !21	ReleaseTimeT60 !22	ReleaseWAVfile !23	ReleaseWAVvolume dB !25	fréq coupure filtre amortissement fréquentiel !32	puissance filtre amortissement fréquentiel en dB !33	inharmonicité coef B !15
Section	Instrument																							
InstrNom	Grand Piano Virtuel SN1																							
VersionDate	V1 250827																							
InstrDescription	Grand Piano Virtuel ViGAPhone																							
Auteur	Ing Vincent GACOUGNOLLE																							
InstrType	piano																							
Diapason	440Hz@M69																							
GeneralMIDI	6																							
PedaleSoftVolume	-3dB																							
PedaleUnaCorda	1																							
PitchbendRange	2																							
DelaiNoteOff	0.1																							
NiveauCouplageMecanique	-33dB																							
Section	Clavier																							
1	PedaleForte	1001			1									pianoPedaleForteBas.wav	-12					pianoPedaleHaut.wav	-18		0,8	
77	Fa 4	57	=	=	=	9,59	=	=	=	1200	-5,1	0,18	0,61	=	=	0,331	=	9,07	0,317	=	=	=	=	0,001291
78	Fa# 4	58	=	=	=	9,55	=	=	=	1200	-5,2	0,19	0,6	=	=	0,302	-16,9	8,79	0,309	=	=	=	=	0,001412
79	Sol 4	59	=	=	=	9,5	=	=	=	1200	-8,3	0,2	=	=	=	0,226	-20,9	8,51	0,3	=	=	=	=	0,001515
80	Sol# 4	60	=	=	=	9,45	=	=	=	1200	-5,5	0,22	0,59	=	=	0,299	-17,2	8,23	0,291	=	=	=	=	0,001626
81	La 4	61	=	=	=	9,4	=	=	=	1200	-8,6	0,23	0,58	pianoMarteauAigue.wav	-12	0,256	=	7,95	0,283	=	=	=	=	0,00177
82	La# 4	62	=	=	=	9,35	=	=	=	1200	-8,7	0,25	=	=	=	0,328	=	7,67	0,274	=	=	=	=	0,001941
83	Si 4	63	=	=	=	9,31	=	=	=	1200	-8,8	0,26	0,57	=	=	=	=	7,39	0,266	=	=	=	=	0,002093
84	Do 5	64	=	=	=	9,26	=	=	=	1200	-9	0,27	0,56	=	=	0,199	=	7,11	0,257	=	=	=	=	0,002258
85	Do# 5	65	=	=	=	9,21	=	=	=	1220	-11,1	0,29	=	=	=	0,281	-28,4	6,83	0,248	=	=	=	=	0,002929
86	Ré 5	66	=	=	=	9,16	=	=	=	1292	-13,2	0,3	0,55	=	=	0,325	-24,6	6,55	0,24	=	=	=	=	0,002765
87	Ré# 5	67	=	=	=	9,11	=	=	=	1369	-12,3	0,31	0,54	=	=	0,219	-24,1	6,27	0,231	=	=	=	=	0,00392
88	Mi 5	68	=	=	=	9,07	=	=	=	1450	-13,5	0,33	=	=	=	0,34	=	5,99	0,222	=	=	=	=	0,003471
89	Fa 5	69	=	=		9,02	=	=	=	1537	-14,6	0,34	0,53	=	=	0,345	-22,4	5,71	0,214	=	=	=	=	0,003878
90	Fa# 5	70	=	=		8,97	=	=	=	1628	-14,7	0,35	0,52	=	=	0,16	-23,9	5,43	0,205	=	=	=	=	0,003829
91	Sol 5	71	=	=		8,92	=	=	=	1725	-15,9	0,37	=	=	=	0,252	=	5,15	0,197	=	=	=	=	0,003753
92	Sol# 5	72	=	=		8,88	=	=	=	1827	-18	0,38	0,51	=	=	0,267	-28,1	4,87	0,188	=	=	=	=	0,004542
93	La 5	73	=	=		8,83	=	=	=	1936	-15,1	0,4	0,5	=	=	0,243	=	4,59	0,179	=	=	=	=	0,003819
94	La# 5	74	=	=		8,78	=	=	=	2051	-18,2	0,41	=	=	=	0,232	-27,6	4,31	0,171	=	=	=	=	0,005201
95	Si 5	75	=	=		8,73	=	=	=	2173	-19,4	0,42	0,49	=	=	0,177	-30	4,03	0,162	=	=	=	=	0,005134
96	Do 6	76	=	=		8,68	=	=	=	2302	-17,5	0,44	0,48	=	=	0,169	=	3,75	0,153	=	=	=	=	0,006009
97	Do# 6	77	=	=		8,64	=	=	=	2439	-21,6	0,45	0,47	=	=	0,162	=	3,48	0,145	=	=	=	=	0,005715
98	Ré 6	78	=	=		8,59	=	=	=	2584	-22,7	0,46	=	=	=	0,154	=	3,2	0,136	=	=	=	=	0,007321
99	Ré# 6	79	=	=		8,54	=	=	=	2738	-19,9	0,48	0,46	=	=	0,146	=	2,92	0,128	=	=	=	=	0,007501
100	Mi 6	80	=	=		8,49	=	=	=	2901	-27	0,49	0,45	=	=	0,138	=	2,64	0,119	=	=	=	=	0,008486
101	Fa 6	81	=	=		8,44	=	=	=	3073	-26,1	0,5	=	=	=	0,131	=	2,36	0,11	=	=	=	=	0,009164
102	Fa# 6	82	=	=		8,4	=	=	=	3256	-31,2	0,52	0,44	=	=	0,123	=	2,08	0,102	=	=	=	=	0,009512
103	Sol 6	83	=	=		8,35	=	=	=	3450	-27,4	0,53	0,43	=	=	0,115	=	1,8	0,093	=	=	=	=	0,010766
104	Sol# 6	84	=	=		8,3	=	=	=	3655	-35,5	0,55	=	=	=	0,108	=	1,52	0,084	=	=	=	=	0,009911
105	La 6	85	=	=		8,25	=	=	=	3872	-26,6	0,56	0,42	=	=	0,1	=	1,24	0,076	=	=	=	=	0,012021
106	La# 6	86	=	=		8,21	=	=	=	4102	-31,7	0,57	0,41	=	=	=	=	0,96	0,067	=	=	=	=	0,011339
107	Si 6	87	=	=		8,16	=	=	=	4346	-28,9	0,59	=	=	=	=	=	0,68	0,059	=	=	=	=	0,012128
108	Do 7	88	=	=		8,11	=	=	=	4605	-29,8	0,6	0,4	=	=	=	=	0,4	0,05	=	=	=	=	0,013473
