MIDInoteNum	note nom !2	note num !3	règle accord !29	nb voix !5	avecEtouffoir !6	déviation accord voix +-Hz !8	dureté du marteau !11	stereoXSource !26	stereoYSource !27	AttackWAVfile !17	AttackWAVvolume dB !18	DecayTime !19	SustainVolume dB !20	SustainTimeT60 !21	ReleaseTimeT60 !22	ReleaseWAVfile !23	ReleaseWAVvolume dB !25	fréq coupure filtre amortissement fréquentiel !32	puissance filtre amortissement fréquentiel en dB !33	inharmonicité coef B !15	inharmonicité fréq P1 !31	liste amplitudes réelles des partiels dB !24
Section	Instrument																					
InstrNom	GP-Schimmel-155-SN196510																					
VersionDate	V3 250618																					
InstrDescription	Grand Piano Schimmel-155 1980 SN196510																					
Auteur	Ing Vincent GACOUGNOLLE																					
InstrType	piano																					
Diapason	440Hz@M69																					
GeneralMIDI	6																					
PedaleSoftVolume	-6dB																					
PedaleUnaCorda	1																					
PitchbendRange	2																					
DelaiNoteOff	0.1																					
NiveauCouplageMecanique	-20dB																					
Section	Clavier																					
1	PedaleForte	1001			1					pianoPedaleForteBas.wav	-12				0,8	pianoPedaleHaut.wav	-18					
49	Do# 2	29	=	=	=	=	=	-0,2	0,8	=	=	1,089	-19	25,18	0,559	=	=	=	=	0,000273	137,97	0 -3,6 -1,8 -13,6 -8,3 -16 -8,1 -27,8 -17,8 -18,7 -27,6 -29,4 -35,4 -23,5 -19 -38,8 -38,1 -34,8 -46,5 -43 -43,9 -30,3 -39,8 -48,9 -64,2 -41,7 -58,4 -48,5 -49,8 -47,5 -65,6 -65,3 -65,8 -65,2 -74,8 -57,1 -66,1 -59,6 -68,8 -77 -66,7 -75 -73,4 -75,1 -79,8 -79,6 -99 -99 -82,8 -99 -76,6 -80,2 -80,5 -76,1 -81,1 -79,5 -84,9 -99 -82,2 -85,3 -82,2 -99 -84,9 -79,5 -81,1 -76,1 -81,8 -76,6 
50	Ré 2	30	=	=	=	=	=	-0,19	=	=	=	0,931	-21,2	25	0,55	=	=	=	=	0,000291	145,75	-4,2 -1,8 0 -2,6 -5,9 -12,6 -8,8 -31,7 -24,9 -22,5 -36,7 -25,4 -26,7 -25,5 -31,8 -28,2 -42,9 -42,8 -33,1 -49,2 -39,7 -45,1 -47,9 -47,3 -49,6 -45 -52,4 -48,7 -58 -56,2 -76,7 -65,4 -73,8 -58,6 -70 -65,1 -63 
51	Ré# 2	31	=	3	=	=	=	-0,18	0,79	=	=	0,71	-20,6	20	0,541	=	=	=	=	0,000319	154,72	-1,9 0 -6,6 -10,7 -17,1 -26,2 -11,1 -23 -25,5 -28,2 -40,8 -18,6 -28,6 -26,8 -29,2 -38,5 -38,4 -36,2 -38,8 -36,3 -40 -36,2 -51,9 -54,4 -54,6 -54,8 -55,2 -50 -56 -63,4 -53,7 -56,6 -54,3 -76,9 -77,2 -66,1 -60,5 -77,3 -82,7 -73,9 -71,6 -86,9 -75,4 
52	Mi 2	32	=	=	=	=	=	-0,16	0,78	=	=	0,636	-21,5	18,65	0,533	=	=	=	=	0,000253	164,25	0 -1,5 -9,7 -18,1 -12,2 -24,6 -12 -25 -25 -23,8 -32 -18,5 -35,5 -36,2 -32,3 -38,6 -49,2 -53 -33,8 -50,2 -53,7 -45,3 -47 -53,7 -66 -61,2 -61,7 -59,2 -53,3 -52,1 -55 -59,1 -70,9 -65,1 -74,4 -69,4 -61,6 -99 -73,4 -77,5 
53	Fa 2	33	=	=	=	=	=	-0,15	0,77	=	=	0,714	-18,2	17,39	0,524	=	=	=	=	0,000205	174,13	0 -1 -19,6 -5,9 -10 -20,3 -26,9 -20,7 -22,4 -19,1 -37 -34,6 -40,2 -30,3 -30,4 -40 -55,6 -40,2 -43,3 -42 -46,2 -42,3 -43,4 -42,5 -60,1 -68,1 -56,9 -58,3 -47,5 -60,7 -54,1 -55,8 -65,7 -64,4 -68,5 -77,3 -64,3 -99 -59,2 -75,5 -75,7 
54	Fa# 2	34	=	=	=	=	=	-0,14	=	=	=	0,678	-17,6	16,22	0,516	=	=	=	=	0,000226	184,2	0 -0,9 -16,2 -8,4 -13,3 -14,2 -16,4 -27,8 -30,3 -22,9 -28,9 -24,2 -33,1 -37,4 -24,2 -34,9 -53,8 -36,9 -39,3 -41,5 -42 -38,8 -45,3 -53 -63,2 -52,7 -57,3 -52,7 -52,3 -48,6 -54,3 -50,6 -51,2 -65,6 -77,7 -74,6 -72,5 -62,4 -70,8 -71,4 -78,8 -86,6 -90,6 -89 -96,5 -86,2 -83,6 -87,6 -96,8 -93 -93,2 -92,6 -89,3 -89,3 -92,6 -93 -96,8 -87,6 -83,6 -96,8 -89 -90,6 
55	Sol 2	35	=	=	=	=	=	-0,12	0,76	=	=	0,664	-18,7	15,12	0,507	=	=	=	=	0,000234	195,19	0 -2,1 -2,5 -24,3 -8 -14,4 -26 -19,9 -20,4 -13,8 -27,7 -26,4 -23,5 -28,2 -22,9 -28 -43,9 -44,7 -41 -42,4 -37,1 -47,5 -37,7 -46,9 -50,8 -44,6 -47,3 -52,6 -51,4 -48,1 -55,2 -57,7 -69,1 -67,9 -79,3 -70,4 -66,1 -66,8 -71,9 -78,3 -80,9 -80,5 -79,9 -81,4 -83 -82 -83,1 -83,1 -82 -82,1 -79,9 -79,9 -81,2 -78,3 -71,9 -66,8 -66,1 
56	Sol# 2	36	=	=	=	=	=	-0,11	0,75	=	=	0,769	-20,1	14,1	0,498	=	=	=	=	0,000224	207,09	0 -1,3 -15,1 -13,1 -16,5 -12 -15,4 -16 -18,7 -29,6 -29,4 -29 -28 -42,4 -25,9 -28 -48,2 -49,4 -40 -39,9 -45,6 -53,3 -44,1 -54,3 -51,3 -49,3 -68,6 -62,9 -72,7 -73,2 -68 -77,4 -72,9 -80,7 -82,4 -84,6 -82,4 -79,4 -84,8 -84,1 -85,9 -84,4 -84,7 -86 -85,6 -86,6 -86,6 -85,6 -84,7 -84,4 -85,9 -84,1 -79,4 
57	La 2	37	=	=	=	=	=	-0,1	=	=	=	0,697	-18,2	13,15	0,49	=	=	=	=	0,000239	219,45	0 -3,1 -16,2 -12,3 -16,5 -25,8 -23 -23,6 -37,3 -30,7 -31,4 -41,6 -33,4 -39,2 -45,6 -38,3 -46,2 -45,7 -47,8 -48 -49,2 -51 -55 -53,6 -54,3 -55,3 -57,7 -54,1 -58,8 -59,4 -60,1 -60,9 -61,5 -62,8 -66,5 -62,1 -61 -65,3 -64,9 -61,4 -67,7 -64,5 -64,5 -64,8 -64,5 -66,9 -64 -64,5 -64,5 -66,5 -67,6 -64 -63,3 -67,6 -62,1 
58	La# 2	38	*	=	=	=	=	-0,08	0,74	=	=	=	=	12,26	0,48	=	=	=	=	0,000265	232,27	0 -3,6 -8,9 -10,9 -22,4 -27,7 -23,8 -32,1 -31,8 -33,7 -39,5 -39 -39,7 -45,5 -43,4 -44,7 -53,1 -55,3 -55,4 -54,7 -53,8 -55,8 -57,7 -57,9 -58,3 -59,5 -61,1 -63,9 -65,2 -65,3 -65,9 -66,8 -65,5 -65,2 -65 -64,7 -65,6 -67,9 -99 -70 -69,9 -71,5 -71,8 -72,4 -69,8 -70 -70 -69,8 -71,8 -71,8 -71,5 -69,9 
59	Si 2	39	=	=	=	=	=	-0,07	0,73	=	=	0,657	-20,1	11,44	0,472	=	=	=	=	0,000299	245,64	0 -7 -12,1 -5,1 -18,6 -19,5 -19,9 -20,2 -34,5 -29 -48,7 -39,6 -36,9 -47,2 -39,6 -43,7 -51,7 -49,6 -52 -57,2 -59 -60,2 -69,3 -58 -78 -78,1 -71,6 -76,4 -83,2 -84,6 -72,8 -90,2 -87,8 -89,9 -88,5 -90,1 -91 -90,7 -91,4 -92 -89,5 -89,5 -92 -91,4 -90,7 -90,1 -88,5 -89,9 -87,8 
60	Do 3	40	=	=	=	=	=	-0,05	=	=	=	0,645	-18,9	10,67	0,464	=	=	=	=	0,000388	260,38	0 -3,9 -14,1 -18,3 -23 -26,2 -22,1 -27 -35,7 -32,1 -40 -28,4 -38,3 -45,3 -45,2 -39 -65 -59,3 -56,8 -58,2 -60,1 -70,1 -69,8 -67,5 -76,5 
61	Do# 3	41	=	=	=	=	=	-0,04	0,72	=	=	0,638	-21,2	9,95	0,455	=	=	=	=	0,000322	276,21	0 -4,6 -19,4 -7,3 -21,1 -17 -16,2 -18,8 -31,2 -37,9 -31 -38 -32,1 -43,5 -36,7 -43,7 -54,1 -57,2 -50,7 -58,9 -55,8 -58,5 -62,3 -62,8 -66,5 -65,9 
62	Ré 3	42	=	=	=	=	=	-0,03	0,71	=	=	0,672	-19,5	9,27	0,447	=	=	=	=	0,000396	292,88	0 -6,5 -19,6 -13,4 -19 -21,7 -19,7 -21,1 -38,5 -36,4 -36,6 -48,1 -39,8 -38,8 -49,3 -45,1 -49,9 -60,1 -58 -56,6 -65,2 -62,5 -65,8 -70,5 -68,3 -74,3 -94 -94 -77,7 -76,9 -76,7 -94 -76,7 -75,5 -94 -75,8 -94 -68,3 
63	Ré# 3	43	=	=	=	=	=	-0,01	=	=	=	0,665	-19,1	8,65	0,438	=	=	=	=	0,000378	310,09	0 -6,9 -7,3 -15,4 -12,3 -14,7 -20,9 -32,5 -41,3 -36,8 -40,7 -42,6 -45,4 -48 -44 -48,6 -49,6 -53 -53 -56,1 -55 -59,7 -59 -61,1 -61,4 -62,3 -63,1 -64 -66,3 -64,8 -89 -64,5 -66,1 -65,2 -65 -65,7 -65 -66,1 -64,5 -64,8 
64	Mi 3	44	=	=	=	=	=		0,7	=	=	0,672	-19,5	8,07	0,429	=	=	=	=	0,000425	328,67	0 -7,6 -13,9 -19 -20,7 -18,8 -20,3 -30,5 -54,1 -39,4 -33,2 -35 -43,1 -43 -48 -49 -60,7 -67,4 -67,5 -70,5 -71,5 
